probe,model,seed,corpus,train_length,eval_length,length_ratio,regularized,train_tokens,tokens_per_second,final_train_task_loss,final_train_regularization_loss,clean_loss,warped_loss,clean_perplexity,warped_perplexity,prediction_agreement
language_model,RoPE,1,synthetic_smoke,32,32,1.0,False,1024,62064.05531798207,4.154694080352783,0.0,4.154819965362549,4.1548171043396,63.740488019106095,63.74030565636795,1.0
language_model,RoPE,1,synthetic_smoke,32,64,2.0,False,1024,62064.05531798207,4.154694080352783,0.0,4.175464630126953,4.175463914871216,65.07006615150095,65.07001960977946,1.0
language_model,RoPE+Reg,1,synthetic_smoke,32,32,1.0,True,1024,35305.53718728088,4.154690265655518,0.006898397114127874,4.154857158660889,4.154854774475098,63.742858782181294,63.74270680754427,1.0
language_model,RoPE+Reg,1,synthetic_smoke,32,64,2.0,True,1024,35305.53718728088,4.154690265655518,0.006898397114127874,4.1754724979400635,4.175471782684326,65.07057811263452,65.07053157054683,1.0
language_model,ScatRoPE,1,synthetic_smoke,32,32,1.0,False,1024,46901.89186842285,4.1547040939331055,0.0,4.154800176620483,4.1548004150390625,63.739226687509685,63.73924188412735,1.0
language_model,ScatRoPE,1,synthetic_smoke,32,64,2.0,False,1024,46901.89186842285,4.1547040939331055,0.0,4.1755218505859375,4.175522565841675,65.07378959707991,65.0738361414979,1.0
language_model,ScatRoPE+Reg,1,synthetic_smoke,32,32,1.0,True,1024,19760.66553465759,4.1547040939331055,0.0009528151713311672,4.154798746109009,4.154798746109009,63.739135507879745,63.739135507879745,1.0
language_model,ScatRoPE+Reg,1,synthetic_smoke,32,64,2.0,True,1024,19760.66553465759,4.1547040939331055,0.0009528151713311672,4.175522565841675,4.175523042678833,65.0738361414979,65.07386717112841,1.0
