model,seed,clean_accuracy,warped_accuracy,prediction_agreement,clean_loss,warped_loss
RoPE,1,0.939453125,0.919921875,0.98046875,1.2421288937330246,1.2333949506282806
ScatRoPE-localized,1,0.99609375,0.998046875,0.998046875,1.3519459515810013,1.3221063017845154
ScatRoPE-demod,1,0.998046875,0.998046875,1.0,1.3791780471801758,1.3711089193820953
RoPE,2,0.96484375,0.943359375,0.978515625,1.2493979185819626,1.238584578037262
ScatRoPE-localized,2,1.0,1.0,1.0,1.3446357548236847,1.3048377931118011
ScatRoPE-demod,2,1.0,0.998046875,0.998046875,1.38250070810318,1.3692588806152344
RoPE,3,0.947265625,0.947265625,1.0,1.2161234617233276,1.2176047265529633
ScatRoPE-localized,3,0.99609375,0.998046875,0.998046875,1.31538026034832,1.3142379224300385
ScatRoPE-demod,3,1.0,1.0,1.0,1.3665459901094437,1.3665241450071335
